Epoch,Train_Loss,Val_Loss,Precision,Recall,F2_Score,Mean_Positive_Probability
17,1.1242,1.1584,0.971,0.1289,0.1558,0.0032
18,0.69784,0.74638,0.9551,0.2465,0.2895,0.10035
19,0.64909,0.71749,0.961,0.2604,0.3049,0.13221
20,0.61664,0.67811,0.9574,0.3005,0.3483,0.15194
21,0.57681,0.63795,0.9552,0.3317,0.3815,0.18545
22,0.54851,0.60449,0.9465,0.3673,0.4185,0.21926
23,0.50954,0.57463,0.9543,0.4133,0.4662,0.24377
24,0.47293,0.54182,0.9518,0.4608,0.5138,0.29259
25,0.44023,0.51673,0.9446,0.5047,0.5566,0.33026
26,0.42435,0.49159,0.9571,0.5525,0.6035,0.37891
27,0.3946,0.47513,0.9351,0.6028,0.6489,0.42674
28,0.37241,0.43619,0.9438,0.6367,0.6811,0.46609
29,0.34792,0.4271,0.9336,0.6794,0.7186,0.50973
30,0.32061,0.41103,0.9302,0.7101,0.7454,0.55745
31,0.31618,0.37657,0.9267,0.7463,0.7766,0.59583
32,0.29637,0.36468,0.9361,0.7668,0.7956,0.63132
33,0.27857,0.34798,0.9264,0.7968,0.8198,0.66822
34,0.2654,0.32939,0.9257,0.8187,0.838,0.6946
35,0.24151,0.31233,0.9249,0.8082,0.8292,0.72275
36,0.24422,0.29493,0.9281,0.848,0.8629,0.74493
37,0.22032,0.2742,0.9311,0.8554,0.8695,0.75644
38,0.21209,0.27826,0.9263,0.8433,0.8587,0.77244
39,0.20318,0.24325,0.9303,0.881,0.8905,0.78921
40,0.17572,0.25471,0.9303,0.8642,0.8766,0.79931
41,0.1883,0.24656,0.921,0.8708,0.8804,0.80755
42,0.17142,0.22491,0.9245,0.8856,0.8931,0.82094
43,0.15446,0.22511,0.9271,0.8645,0.8764,0.82699
44,0.15351,0.21718,0.9261,0.8615,0.8737,0.81595
45,0.16185,0.20887,0.9228,0.8708,0.8807,0.82811
46,0.14036,0.19407,0.9299,0.8769,0.887,0.8298
47,0.12825,0.19146,0.9208,0.8799,0.8878,0.82852
48,0.12877,0.18362,0.9208,0.8837,0.8909,0.82743
49,0.12614,0.17101,0.9236,0.8942,0.8999,0.82601
50,0.1161,0.16653,0.9209,0.8698,0.8796,0.83674
