station,total_days,mean_avail
AMQI,2191,97.4669100867184
BAIG,2191,97.42126882701963
BTNG,2191,98.72204472843451
CPTG,2191,94.84253765403925
DJAK,2191,96.64536741214057
JYPG,2191,98.51665905979004
KPSI,2191,94.6371519853948
KUM2,2191,96.12049292560475
KUMT,2191,94.68279324509356
KUTA,2191,96.91921497033319
LAMP,2191,97.42126882701963
MGNI,2191,95.25330899132815
MNAK,2191,95.9151072569603
MTWA,2191,95.6184390689183
PLKI,2191,94.08945686900958
PLNI,2191,95.32177088087631
PNGK,2191,96.6225467822912
PSMG,2191,95.39023277042446
SAIQ,2191,96.91921497033319
SBAT,2191,93.76996805111821
SRKI,2191,93.88407120036513
STPA,2191,94.02099497946143
TBNG,2191,93.13099041533546
TNDI,2191,94.24920127795527
